matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
31,Juventus,Kelly L.,d,6.5,7.5,"6,5","7,5"
31,Juventus,Locatelli,c,6.5,6.0,"6,5",6
31,Juventus,McKennie,c,6.5,9.0,"6,5",9
31,Juventus,Thuram K.,c,6.0,5.5,6,"5,5"
31,Juventus,Miretti,c,55.0,55.0,55,55
31,Juventus,Conceicao,c,6.5,7.5,"6,5","7,5"
31,Juventus,Milik,a,6.0,6.0,6,6
31,Juventus,Boga,a,55.0,55.0,55,55
31,Juventus,David,a,6.0,6.0,6,6
31,Juventus,Yildiz,a,6.0,6.0,6,6
31,Juventus,Spalletti,all,7.0,7.0,7,7
31,Lazio,Motta,p,6.5,5.5,"6,5","5,5"
31,Lazio,Romagnoli,d,5.5,5.5,"5,5","5,5"
31,Lazio,Marusic,d,5.5,5.5,"5,5","5,5"
31,Lazio,Lazzari,d,6.0,6.0,6,6
31,Lazio,Tavares N.,d,6.0,6.0,6,6
31,Lazio,Provstgaard,d,5.5,5.5,"5,5","5,5"
31,Lazio,Cataldi,c,6.0,6.0,6,6
31,Lazio,Maldini,c,5.5,5.5,"5,5","5,5"
31,Lazio,Isaksen,c,5.5,5.5,"5,5","5,5"
31,Lazio,Dele-Bashiru,c,6.0,6.0,6,6
31,Lazio,Taylor K.,c,6.5,7.5,"6,5","7,5"
31,Lazio,Pedro,a,5.5,5.5,"5,5","5,5"
31,Lazio,Cancellieri,a,6.0,6.0,6,6
31,Lazio,Dia,a,5.5,5.5,"5,5","5,5"
31,Lazio,Noslin,a,7.0,9.5,7,"9,5"
31,Lazio,Sarri,all,6.0,6.0,6,6
31,Lecce,Falcone,p,7.0,4.0,7,4
31,Lecce,Tiago Gabriel,d,5.5,5.5,"5,5","5,5"
31,Lecce,Veiga D.,d,5.5,5.5,"5,5","5,5"
31,Lecce,Ndaba,d,4.5,4.5,"4,5","4,5"
31,Lecce,Siebert,d,5.0,5.0,5,5
31,Lecce,Coulibaly L.,c,6.0,6.0,6,6
31,Lecce,Ramadani,c,6.0,6.0,6,6
31,Lecce,Pierotti,c,5.5,5.5,"5,5","5,5"
31,Lecce,Gandelman,c,6.0,6.0,6,6
31,Lecce,Fofana Sa.,c,5.0,5.0,5,5
31,Lecce,Ngom,c,5.0,5.0,5,5
31,Lecce,Banda,a,6.0,6.0,6,6
31,Lecce,Cheddira,a,5.5,5.5,"5,5","5,5"
31,Lecce,N'Dri,a,5.0,5.0,5,5
31,Lecce,Stulic,a,55.0,55.0,55,55
31,Lecce,Di Francesco,all,5.0,5.0,5,5
31,Milan,Maignan,p,6.0,5.0,6,5
31,Milan,Tomori,d,6.0,6.0,6,6
31,Milan,Pavlovic,d,6.5,6.5,"6,5","6,5"
31,Milan,De Winter,d,5.5,5.5,"5,5","5,5"
31,Milan,Bartesaghi,d,5.5,5.5,"5,5","5,5"
31,Milan,Athekame,d,5.5,5.5,"5,5","5,5"
31,Milan,Rabiot,c,6.0,6.0,6,6
31,Milan,Pulisic,c,5.5,5.5,"5,5","5,5"
31,Milan,Modric,c,6.0,6.0,6,6
31,Milan,Loftus-Cheek,c,55.0,55.0,55,55
31,Milan,Fofana Y.,c,5.5,5.5,"5,5","5,5"
31,Milan,Saelemaekers,c,6.0,6.0,6,6
31,Milan,Fullkrug,a,5.5,5.5,"5,5","5,5"
31,Milan,Leao,a,55.0,55.0,55,55
31,Milan,Nkunku,a,5.5,5.5,"5,5","5,5"
31,Milan,Gimenez,a,6.0,6.0,6,6
31,Milan,Allegri,all,5.5,5.5,"5,5","5,5"
31,Napoli,Milinkovic-Savic V.,p,6.0,6.0,6,6
31,Napoli,Juan Jesus,d,6.5,6.5,"6,5","6,5"
31,Napoli,Spinazzola,d,6.5,6.5,"6,5","6,5"
31,Napoli,Buongiorno,d,6.0,5.5,6,"5,5"
31,Napoli,Gutierrez,d,6.0,6.0,6,6
31,Napoli,Olivera,d,6.5,6.5,"6,5","6,5"
31,Napoli,Beukema,d,55.0,55.0,55,55
31,Napoli,Politano,c,7.0,9.5,7,"9,5"
31,Napoli,De Bruyne,c,6.0,6.0,6,6
31,Napoli,Zambo Anguissa,c,6.0,6.0,6,6
31,Napoli,Lobotka,c,6.0,6.0,6,6
